JAHR,MONTH,FINAL_VALUES
2000,01,78
2000,02,53
2000,03,73
2000,04,78
2000,05,96
2000,06,57
2000,07,99
2000,08,77
2000,09,84
2000,10,83
2000,11,71
2000,12,85
2001,01,66
2001,02,49
2001,03,63
2001,04,68
2001,05,85
2001,06,68
2001,07,71
2001,08,60
2001,09,107
2001,10,77
2001,11,68
2001,12,66
2002,01,44
2002,02,49
2002,03,61
2002,04,65
2002,05,58
2002,06,74
2002,07,84
2002,08,71
2002,09,107
2002,10,83
2002,11,44
2002,12,63
2003,01,55
2003,02,44
2003,03,53
2003,04,50
2003,05,65
2003,06,82
2003,07,76
2003,08,66
2003,09,63
2003,10,74
2003,11,44
2003,12,58
2004,01,42
2004,02,48
2004,03,44
2004,04,37
2004,05,55
2004,06,58
2004,07,67
2004,08,58
2004,09,79
2004,10,68
2004,11,51
2004,12,52
2005,01,48
2005,02,40
2005,03,40
2005,04,40
2005,05,48
2005,06,57
2005,07,63
2005,08,48
2005,09,76
2005,10,57
2005,11,42
2005,12,41
2006,01,44
2006,02,50
2006,03,40
2006,04,40
2006,05,53
2006,06,51
2006,07,64
2006,08,48
2006,09,64
2006,10,45
2006,11,48
2006,12,52
2007,01,36
2007,02,32
2007,03,38
2007,04,49
2007,05,63
2007,06,51
2007,07,65
2007,08,44
2007,09,54
2007,10,55
2007,11,36
2007,12,37
2008,01,32
2008,02,30
2008,03,30
2008,04,25
2008,05,57
2008,06,56
2008,07,52
2008,08,44
2008,09,49
2008,10,45
2008,11,27
2008,12,35
2009,01,23
2009,02,32
2009,03,14
2009,04,45
2009,05,57
2009,06,31
2009,07,44
2009,08,35
2009,09,49
2009,10,35
2009,11,31
2009,12,34
2010,01,19
2010,02,23
2010,03,31
2010,04,33
2010,05,34
2010,06,39
2010,07,48
2010,08,40
2010,09,54
2010,10,27
2010,11,28
2010,12,26
2011,01,25
2011,02,25
2011,03,22
2011,04,43
2011,05,43
2011,06,27
2011,07,39
2011,08,34
2011,09,36
2011,10,26
2011,11,40
2011,12,37
2012,01,21
2012,02,18
2012,03,21
2012,04,34
2012,05,54
2012,06,43
2012,07,56
2012,08,55
2012,09,49
2012,10,32
2012,11,30
2012,12,27
2013,01,17
2013,02,15
2013,03,21
2013,04,28
2013,05,33
2013,06,37
2013,07,42
2013,08,39
2013,09,47
2013,10,31
2013,11,35
2013,12,32
2014,01,21
2014,02,17
2014,03,37
2014,04,35
2014,05,28
2014,06,31
2014,07,35
2014,08,32
2014,09,43
2014,10,36
2014,11,42
2014,12,25
2015,01,22
2015,02,23
2015,03,23
2015,04,29
2015,05,50
2015,06,39
2015,07,49
2015,08,49
2015,09,45
2015,10,25
2015,11,30
2015,12,27
2016,01,21
2016,02,10
2016,03,20
2016,04,27
2016,05,25
2016,06,30
2016,07,35
2016,08,34
2016,09,29
2016,10,30
2016,11,20
2016,12,20
2017,01,19
2017,02,22
2017,03,36
2017,04,26
2017,05,29
2017,06,41
2017,07,52
2017,08,30
2017,09,47
2017,10,32
2017,11,33
2017,12,42
2018,01,22
2018,02,24
2018,03,32
2018,04,25
2018,05,34
2018,06,39
2018,07,51
2018,08,40
2018,09,36
2018,10,43
2018,11,31
2018,12,21
2019,01,22
2019,02,28
2019,03,34
2019,04,36
2019,05,39
2019,06,40
2019,07,48
2019,08,31
2019,09,47
2019,10,45
2019,11,29
2019,12,35
2020,01,28
2020,02,40
2020,03,27
2020,04,26
2020,05,40
2020,06,49
2020,07,58
2020,08,46
2020,09,46
2020,10,34
2020,11,23
2020,12,13
2021,01,24
2021,02,27
2021,03,29
2021,04,30
2021,05,37
2021,06,40
2021,07,48
2021,08,38
2021,09,42
2021,10,36
2021,11,29
2021,12,26
